seqnames	start	end	strand	gene	event	annotated	frame_conserved	intron_no	SJ_IR	seen_in_treatment	dmso_avg_proportion	dmso_stdev	dmso_avg_reads	chx_avg_proportion	chx_stdev	chx_avg_reads	n
chr2	237333515	237381335	-	COL6A3	unannotated junctions			22	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			23	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			38	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			39	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			40	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333515	237381335	-	COL6A3	unannotated junctions			41	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237333549	237334659	-	COL6A3	cryptic donor ~ exon 42		FALSE	41	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237334823	237336246	-	COL6A3	unannotated junctions			40	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237334890	237336077	-	COL6A3	cryptic donor ~ exon 41		TRUE	40	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237334890	237344349	-	COL6A3	exon 37-38-39-40 skipping		FALSE	36	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237334890	237344349	-	COL6A3	exon 37-38-39-40 skipping		FALSE	37	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237334890	237344349	-	COL6A3	exon 37-38-39-40 skipping		FALSE	38	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237334890	237344349	-	COL6A3	exon 37-38-39-40 skipping		FALSE	39	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237334890	237344349	-	COL6A3	exon 37-38-39-40 skipping		FALSE	40	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			23	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			38	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336213	237357811	-	COL6A3	unannotated junctions			39	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			10	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			11	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			12	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			13	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			14	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			15	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			16	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			17	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			18	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			19	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			20	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			21	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			22	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			23	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			38	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336382	237368817	-	COL6A3	unannotated junctions			39	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237336533	237338448	-	COL6A3	cryptic donor ~ exon 40		FALSE	39	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237336533	237340447	-	COL6A3	cryptic donor ~ exon 40		FALSE	39	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237336533	237340451	-	COL6A3	exon 39 skipping		TRUE	38	SJ	chx only				0.00%	0.00%	0.2	20
chr2	237336533	237340451	-	COL6A3	exon 39 skipping		TRUE	39	SJ	chx only				0.00%	0.00%	0.2	20
chr2	237336569	237339014	-	COL6A3	exon 39 ~ cryptic acceptor		TRUE	39	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237339032	237344514	-	COL6A3	unannotated junctions			36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237339032	237344514	-	COL6A3	unannotated junctions			37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237339032	237344514	-	COL6A3	unannotated junctions			38	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237339118	237344349	-	COL6A3	exon 37-38 skipping		FALSE	36	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237339118	237344349	-	COL6A3	exon 37-38 skipping		FALSE	37	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237339118	237344349	-	COL6A3	exon 37-38 skipping		FALSE	38	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340475	237347806	-	COL6A3	exon 31 ~ cryptic acceptor		FALSE	37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			11	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			12	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			13	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			14	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			15	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			16	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			17	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			18	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			19	SJ	chx only				0.00%	0.01%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			20	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			21	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			22	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			23	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237340744	237366831	-	COL6A3	unannotated junctions			37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			13	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			22	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			23	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			24	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			28	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			30	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			31	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			36	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			37	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237341114	237342064	-	COL6A3	exon 37 ~ cryptic acceptor		FALSE	37	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237341151	237341927	-	COL6A3	cryptic donor ~ exon 38		FALSE	37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	23	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341151	237357337	-	COL6A3	exon 24-25-26-27-28-29-30-31-32-33-34-35-36-37 skipping		TRUE	37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341180	237342064	-	COL6A3	exon 37 ~ cryptic acceptor		FALSE	37	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237341227	237342064	-	COL6A3	exon 37 ~ cryptic acceptor		FALSE	37	SJ	chx only				0.00%	0.00%	0.4	20
chr2	237341842	237342064	-	COL6A3	exon 37 ~ cryptic acceptor		FALSE	37	SJ	chx only				0.00%	0.01%	0.1	20
chr2	237341929	237342064	-	COL6A3	exon 37 ~ cryptic acceptor		FALSE	37	SJ	chx only				0.00%	0.00%	0.1	20
chr2	237342113	237344349	-	COL6A3	exon 36 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342149	237354898	-	COL6A3	exon 24 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237343764	-	COL6A3	cryptic donor ~ exon 37		TRUE	36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237343920	-	COL6A3	cryptic donor ~ exon 37		TRUE	36	SJ	chx only				0.00%	0.00%	0.25	20
chr2	237342162	237346502	-	COL6A3	exon 33-34-35-36 skipping		FALSE	32	SJ	chx only				0.00%	0.00%	0.3	20
chr2	237342162	237346502	-	COL6A3	exon 33-34-35-36 skipping		FALSE	33	SJ	chx only				0.00%	0.00%	0.3	20
chr2	237342162	237346502	-	COL6A3	exon 33-34-35-36 skipping		FALSE	34	SJ	chx only				0.00%	0.00%	0.3	20
chr2	237342162	237346502	-	COL6A3	exon 33-34-35-36 skipping		FALSE	35	SJ	chx only				0.00%	0.00%	0.3	20
chr2	237342162	237346502	-	COL6A3	exon 33-34-35-36 skipping		FALSE	36	SJ	chx only				0.00%	0.01%	0.3	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237342162	237352521	-	COL6A3	exon 27-28-29-30-31-32-33-34-35-36 skipping		TRUE	36	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344057	237344349	-	COL6A3	exon 36 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.00%	0.01%	0.45	20
chr2	237344751	237345180	-	COL6A3	exon 33 ~ cryptic acceptor		FALSE	33	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344751	237345180	-	COL6A3	exon 33 ~ cryptic acceptor		FALSE	34	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344751	237345180	-	COL6A3	exon 33 ~ cryptic acceptor		FALSE	35	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			17	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			18	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			19	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			20	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			21	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			22	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			23	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			24	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			25	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			26	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			27	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			28	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			29	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			30	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			31	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344785	237360138	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.00%	0.05	20
chr2	237344796	237346541	-	COL6A3	unannotated junctions			32	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344796	237346541	-	COL6A3	unannotated junctions			33	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344796	237346541	-	COL6A3	unannotated junctions			34	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344796	237346541	-	COL6A3	unannotated junctions			35	SJ	chx only				0.00%	0.00%	0.15	20
chr2	237344844	237345180	-	COL6A3	exon 34-35 skipping		TRUE	33	SJ	chx only				0.00%	0.02%	0.6	20
chr2	237344844	237345180	-	COL6A3	exon 34-35 skipping		TRUE	34	SJ	chx only				0.00%	0.02%	0.6	20
chr2	237344844	237345180	-	COL6A3	exon 34-35 skipping		TRUE	35	SJ	chx only				0.00%	0.02%	0.6	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	11	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	12	SJ	chx only				0.00%	0.00%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	13	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	14	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	15	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	16	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	17	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	18	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	19	SJ	chx only				0.00%	0.02%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	20	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	21	SJ	chx only				0.00%	0.01%	0.2	20
chr2	237344844	237366831	-	COL6A3	cryptic donor ~ exon 36		TRUE	22	SJ	chx only				0.00%	0.00%	0.2	20
