chrom	start	end	strand	transcript	gene
chr22	18912780	18936293	-	NM_016335.6	PRODH
chr22	46296869	46330810	+	NM_016426.7	GTSE1
chr22	23608451	23632321	-	NM_016449.4	DRICH1
chr22	30425767	30429054	+	NM_016498.5	MTFP1
chr22	18150169	18177397	+	NM_017414.4	USP18
chr22	42692120	42720870	-	NM_017436.7	A4GALT
chr22	50486858	50490648	+	NM_017584.6	MIOX
chr22	41301524	41360147	+	NM_017590.6	ZC3H7B
chr22	45309933	45341955	+	NM_017911.4	FAM118A
chr22	46268007	46294008	+	NM_017931.4	TTC38
chr22	46335713	46357340	+	NM_018006.5	TRMU
chr22	18110808	18131732	+	NM_018943.3	TUBA8
chr22	37639668	37656117	+	NM_018957.6	SH3BP1
chr22	50090005	50161687	+	NM_018995.3	MOV10L1
chr22	39502289	39518132	+	NM_019008.6	MIEF1
chr22	24181486	24189106	+	NM_019601.4	SUSD2
chr22	31439366	31489842	-	NM_019843.4	EIF4ENIF1
chr22	23573124	23580290	-	NM_020070.4	IGLL1
chr22	38681956	38685421	+	NM_020243.5	TOMM22
chr22	37658722	37666932	+	NM_020315.5	PDXP
chr22	26429259	26445015	+	NM_020437.5	ASPHD2
chr22	50217693	50245023	-	NM_020461.4	TUBGCP6
chr22	30262828	30266851	-	NM_020530.6	OSM
chr22	40410288	40636719	-	NM_020831.6	MRTFA
chr22	29438582	29442455	+	NM_021026.2	RFPL1
chr22	29480217	29491390	+	NM_021076.4	NEFH
chr22	29883173	30030868	+	NM_021090.4	MTMR3
chr22	39570752	39689735	+	NM_021096.4	CACNA1I
chr22	26169461	26383596	+	NM_021115.5	SEZ6L
chr22	37019741	37029815	+	NM_021126.8	MPST
chr22	39077274	39087743	+	NM_021822.4	APOBEC3G
chr22	23738681	23751112	-	NM_021916.4	ZNF70
chr22	37953698	37969312	+	NM_021974.5	POLR2F
chr22	21642301	21644299	+	NM_022044.3	SDF2L1
chr22	26450881	26483783	-	NM_022081.6	HPS4
chr22	40857147	40932815	+	NM_022098.4	XPNPEP3
chr22	44180924	44208469	+	NM_022141.7	PARVG
chr22	19130278	19144651	-	NM_022719.3	ESS2
chr22	20080240	20111872	+	NM_022720.7	DGCR8
chr22	20111874	20117226	-	NM_022727.6	TRMT2A
chr22	46684409	46738252	-	NM_022766.6	CERK
chr22	43528777	43812305	-	NM_022785.4	EFCAB6
chr22	20241414	20268318	-	NM_023004.6	RTN4R
chr22	41938736	41947152	-	NM_024053.5	CENPM
chr22	49900228	49918438	-	NM_024105.4	ALG12
chr22	37686342	37693474	+	NM_024313.3	NOL12
chr22	49918633	49927537	+	NM_024324.5	CRELD2
chr22	19846145	19854874	-	NM_024627.6	RTL10
chr22	41800678	41832164	+	NM_024821.5	CCDC134
chr22	38084899	38110684	-	NM_025045.6	BAIAP2L2
chr22	43923804	43947582	+	NM_025225.3	PNPLA3
chr22	20999103	21002118	-	NM_030573.3	THAP7
chr22	35648445	35668404	+	NM_030641.4	APOL6
chr22	35717871	35729483	+	NM_030642.1	APOL5
chr22	30694873	30907813	+	NM_030758.4	OSBP2
chr22	36226208	36239527	-	NM_030882.4	APOL2
chr22	50201010	50217616	+	NM_031454.2	SELENOO
chr22	17563497	17590995	+	NM_031481.3	SLC25A18
chr22	41205311	41231271	+	NM_031488.5	L3MBTL2
chr22	17116296	17121360	-	NM_031890.4	TMEM121B
chr22	37180165	37188247	-	NM_031910.4	C1QTNF6
chr22	30291989	30326941	-	NM_031937.3	TBC1D10A
chr22	50245182	50251265	-	NM_032019.6	HDAC10
chr22	29788610	29838274	-	NM_032204.5	ASCC2
chr22	44492582	44498233	-	NM_032287.3	RTL6
chr22	42583720	42614883	-	NM_032311.5	POLDIP3
chr22	37943049	37953601	-	NM_032561.5	C22orf23
chr22	25742187	26031045	+	NM_032608.7	MYO18B
chr22	41459716	41468692	-	NM_032758.4	PHF5A
chr22	20441518	20495795	-	NM_032775.4	KLHL22
chr22	17137519	17159277	-	NM_033070.3	HDHD5
chr22	50502948	50507702	-	NM_033200.3	LMF2
chr22	20314237	20320060	-	NM_033257.4	DGCR6L
chr22	42079699	42084284	+	NM_033318.5	SMDT1
chr22	37906296	37942822	+	NM_033386.4	MICALL1
chr22	50170730	50180295	+	NM_052839.4	PANX2
chr22	31281599	31292488	-	NM_052880.5	PIK3IP1
chr22	37367959	37427479	-	NM_052906.5	ELFN2
chr22	41922031	41926806	-	NM_052945.4	TNFRSF13C
chr22	19783222	19854874	-	NM_053004.3	GNB1L
chr22	19131307	19132622	+	NM_053006.5	TSSK2
chr22	20707690	20858811	-	NM_058004.4	PI4KA
chr22	45920365	45977162	-	NM_058238.3	WNT7B
chr22	31104776	31107568	-	NM_080430.4	SELENOM
chr22	22513735	22520270	-	NM_080740.5	ZNF280A
chr22	22484420	22508742	-	NM_080764.4	ZNF280B
chr22	29205895	29259597	+	NM_133455.4	EMID1
chr22	33272508	33920476	-	NM_133642.5	LARGE1
chr22	31081317	31104624	+	NM_134269.3	SMTN
chr22	44881161	45010005	-	NM_138415.5	PHF21B
chr22	50545898	50551023	+	NM_138433.5	KLHDC7B
chr22	39994953	40043534	+	NM_138435.4	FAM83F
chr22	41229512	41240931	-	NM_138481.2	CHADL
chr22	37830854	37844334	-	NM_138797.4	ANKRD54
chr22	43879677	43892013	-	NM_138814.4	PNPLA5
chr22	40859548	40862113	-	NM_145174.2	DNAJB7
chr22	39040863	39055972	+	NM_145298.6	APOBEC3F
chr22	36140328	36160755	-	NM_145639.2	APOL3
chr22	38957608	38963184	+	NM_145699.4	APOBEC3A
chr22	42380406	42432403	-	NM_145912.8	NFAM1
chr22	45344062	45413599	-	NM_148674.5	SMC1B
chr22	38290690	38317433	-	NM_152221.3	CSNK1E
chr22	37560479	37569405	+	NM_152243.3	CDC42EP1
chr22	50568860	50578427	-	NM_152246.3	CPT1B
chr22	31160181	31207019	+	NM_152267.4	RNF185
chr22	50508223	50524780	+	NM_152299.4	NCAPH2
chr22	39021126	39033277	+	NM_152426.4	APOBEC3D
chr22	30080463	30177075	+	NM_152510.4	HORMAD2
chr22	30661444	30667875	-	NM_152511.5	DUSP18
chr22	39743043	39893760	-	NM_152512.4	ENTHD1
chr22	41699502	41799454	+	NM_152513.4	MEI1
chr22	21632759	21637329	+	NM_152612.3	CCDC116
chr22	41998787	42028475	+	NM_152613.3	WBP2NL
chr22	38426326	38455199	-	NM_152868.3	KCNJ4
chr22	20021109	20067164	+	NM_152906.7	TANGO2
chr22	23691012	23699168	+	NM_153615.2	RGL4
chr22	28742038	28757510	+	NM_172002.5	HSCB
chr22	43197279	43343372	-	NM_173050.5	SCUBE1
chr22	43132208	43143398	-	NM_173467.5	MCAT
chr22	28772694	28789295	+	NM_173510.4	CCDC117
chr22	31681346	31750132	-	NM_173566.3	PRR14L
chr22	19440885	19447711	-	NM_173793.5	C22orf39
chr22	32413844	32464446	-	NM_174932.3	BPIFC
chr22	30459228	30472017	-	NM_174975.5	SEC14L3
chr22	30488901	30505695	-	NM_174977.4	SEC14L4
chr22	39130771	39152680	-	NM_175709.5	CBX7
chr22	44702203	44737681	+	NM_181333.4	PRR5
chr22	44752574	44862784	+	NM_181335.3	ARHGAP8
chr22	39097243	39104067	+	NM_181773.5	APOBEC3H
chr22	23762989	23765863	+	NM_182520.3	C22orf15
chr22	29720002	29731833	+	NM_182527.3	CABP7
chr22	39520561	39522683	+	NM_182810.3	ATF4
chr22	20424583	20437825	-	NM_182895.5	SCARF2
chr22	39529092	39532748	-	NM_194326.4	RPS19BP1
chr22	22644613	22647898	+	NM_199127.3	GGTLC2
chr22	22547700	22559265	-	NM_206956.3	PRAME
chr22	46244012	46250293	-	NM_207327.5	CDPF1
chr22	24585634	24593073	-	NM_207644.3	LRRC75B
chr22	23765833	23767972	-	NM_213720.3	CHCHD10
chr22	26657587	26676478	+	NR_033320.3	MIAT
chr22_GL383582v2_alt	0	1783	+	NM_001002034.3	PHETA2
chr22_GL383582v2_alt	70203	125537	-	NM_001378418.1	TCF20
chr22_GL383582v2_alt	7870	13117	-	NM_002490.6	NDUFA6
chr22_GL383582v2_alt	2044	6629	+	NM_033318.5	SMDT1
chr22_GL383583v2_alt	73316	78547	+	NM_001193289.2	APOBEC3A_B
chr22_KB663609v1_alt	48825	53137	-	NM_000106.6	CYP2D6
chr22_KB663609v1_alt	0	1783	+	NM_001002034.3	PHETA2
chr22_KB663609v1_alt	7870	13117	-	NM_002490.6	NDUFA6
chr22_KB663609v1_alt	2044	6629	+	NM_033318.5	SMDT1
chr22_KI270875v1_alt	149392	155927	-	NM_080740.5	ZNF280A
chr22_KI270875v1_alt	120077	144399	-	NM_080764.4	ZNF280B
chr22_KI270875v1_alt	183357	194922	-	NM_206956.3	PRAME
chr22_KI270876v1_alt	59733	259897	-	NM_001349999.2	RBFOX2
chr22_KI270876v1_alt	32638	44250	+	NM_030642.1	APOL5
chr22_KI270877v1_alt	81799	101331	+	NM_000631.5	NCF4
chr22_KI270877v1_alt	21489	37822	-	NM_001315532.2	PVALB
chr22_KI270879v1_alt	270313	278446	-	NM_000853.4	GSTT1
chr22_KI270879v1_alt	216499	220281	+	NM_000854.5	GSTT2
chr22_KI270879v1_alt	70864	75368	-	NM_001002862.3	DERL3
chr22_KI270879v1_alt	94236	122674	+	NM_001024939.4	SLC2A11
chr22_KI270879v1_alt	193775	197557	-	NM_001080843.4	GSTT2B
chr22_KI270879v1_alt	207733	210805	-	NM_001084392.3	DDT
chr22_KI270879v1_alt	203250	208920	+	NM_001084393.2	DDTL
chr22_KI270879v1_alt	234769	241525	-	NM_001358664.2	GSTT4
chr22_KI270879v1_alt	130744	131585	+	NM_002415.2	MIF
chr22_KI270879v1_alt	23327	74371	+	NM_003073.5	SMARCB1
chr22_KI270879v1_alt	9210	20678	+	NM_005940.5	MMP11
chr22_KI270879v1_alt	621	2225	+	NM_182520.3	C22orf15
chr22_KI270879v1_alt	2195	4334	-	NM_213720.3	CHCHD10
chr22_KI270928v1_alt	48839	53151	-	NM_000106.6	CYP2D6
chr22_KI270928v1_alt	0	1783	+	NM_001002034.3	PHETA2
chr22_KI270928v1_alt	82357	137686	-	NM_001378418.1	TCF20
chr22_KI270928v1_alt	7870	13117	-	NM_002490.6	NDUFA6
chr22_KI270928v1_alt	2044	6629	+	NM_033318.5	SMDT1
chr22_KN196485v1_alt	62816	118145	-	NM_001378418.1	TCF20
chr22_KN196485v1_alt	476	5733	-	NM_002490.6	NDUFA6
chr22_KN196486v1_alt	12064	16376	-	NM_000106.6	CYP2D6
chr22_KN196486v1_alt	59298	114610	-	NM_001378418.1	TCF20
chr22_KQ458387v1_alt	62195	117513	-	NM_001378418.1	TCF20
chr22_KQ458388v1_alt	20087	24399	-	NM_000106.6	CYP2D6
chr22_KQ458388v1_alt	81020	136332	-	NM_001378418.1	TCF20
chr22_KQ759761v1_alt	4239	8551	-	NM_000106.6	CYP2D6
chr22_KQ759761v1_alt	51430	106745	-	NM_001378418.1	TCF20
chr22_KQ759762v2_fix	74323	81453	+	NM_001097.3	ACR
chr22_KQ759762v2_fix	8916	69331	+	NM_001372044.2	SHANK3
chr2_GL383521v1_alt	6692	7538	-	NM_016441.3	CRIM1
chr2_GL383522v1_alt	1104	35154	+	NM_001039724.4	NOSTRIN
chr2_GL383522v1_alt	107407	123061	-	NM_003742.4	ABCB11
chr2_GL383522v1_alt	57519	77057	-	NM_020675.4	SPC25
chr2_GL383522v1_alt	87917	96627	+	NM_021176.3	G6PC2
chr2_GL582966v2_alt	3213	96131	+	NM_004522.3	KIF5C
chr2_KI270769v1_alt	9875	89035	+	NM_016030.6	TRAPPC12
chr2_KI270769v1_alt	106835	110465	-	NM_018269.4	ADI1
chr2_KI270773v1_alt	4167	64734	+	NM_018968.4	SNTG2
chr2_KI270774v1_alt	96660	223095	+	NM_001206744.2	TPO
chr2_KI270774v1_alt	1086	50794	+	NM_018968.4	SNTG2
chr2_KI270776v1_alt	21290	29511	+	NM_001167600.3	NEU4
chr2_KI270776v1_alt	106085	112562	-	NM_001382368.1	FAM240C
chr2_KI270776v1_alt	61981	70992	-	NM_005018.3	PDCD1
chr2_KI270776v1_alt	11154	16385	+	NM_022134.3	GAL3ST2
chr2_KI270776v1_alt	81826	85921	+	NM_173821.3	RTP5
chr2_KN538363v1_fix	253153	292393	+	NM_000541.5	SAG
chr2_KN538363v1_fix	5679	153241	+	NM_001017915.3	INPP5D
chr2_KN538363v1_fix	197010	241007	+	NM_030803.7	ATG16L1
chr2_KN538363v1_fix	299831	335841	+	NM_152879.3	DGKD
chr2_KQ983256v1_alt	284333	322389	-	NM_001389445.1	CMKLR2
chr2_KQ983256v1_alt	268912	271946	+	NM_001959.4	EEF1B2
chr2_KQ983256v1_alt	223834	268462	-	NM_005006.7	NDUFS1
chr2_KQ983256v1_alt	102738	195192	-	NM_017759.5	INO80D
chr2_KQ983256v1_alt	388300	428065	+	NM_020923.3	ZDBF2
chr2_KZ208908v1_alt	119900	122818	-	NM_006891.4	CRYGD
chr2_KZ208908v1_alt	126430	128122	-	NM_020989.4	CRYGC
chr2_ML143341v1_fix	75327	138464	+	NM_001271893.4	TWIST2
chr2_MU273337v1_alt	354222	361971	+	NM_001164464.2	TRIM43B
chr2_MU273337v1_alt	36552	53406	+	NM_001165978.3	PROM2
chr2_MU273337v1_alt	59450	148184	+	NM_013434.5	KCNIP3
chr2_MU273337v1_alt	164814	178725	+	NM_016044.3	FAHD2A
chr2_MU273337v1_alt	239070	246848	-	NM_138800.3	TRIM43
chr2_MU273338v1_alt	117641	180331	+	NM_001378.3	DYNC1I2
chr2_MU273338v1_alt	353078	422730	+	NM_003642.4	HAT1
chr2_MU273338v1_alt	213577	324837	-	NM_003705.5	SLC25A12
chr2_MU273338v1_alt	524273	528441	+	NM_178120.5	DLX1
chr2_MU273338v1_alt	439002	521197	+	NM_199227.3	METAP1D
chr2_MU273339v1_alt	244067	305780	-	NM_001099771.2	POTEF
chr2_MU273339v1_alt	315846	321672	-	NM_001258307.2	CCDC74B
chr2_MU273339v1_alt	327955	358154	-	NM_017951.5	SMPD4
chr2_MU273339v1_alt	358813	367278	+	NM_025029.5	MZT2B
chr2_MU273339v1_alt	151907	154980	+	NM_032144.3	RAB6C
chr2_MU273339v1_alt	368296	374992	-	NM_207312.3	TUBA3E
chr2_MU273340v1_alt	281006	283491	+	NM_001135022.2	ELMOD3
chr2_MU273340v1_alt	244267	254227	-	NM_006464.4	TGOLN2
chr2_MU273340v1_alt	268194	280766	-	NM_017750.4	RETSAT
chr2_MU273340v1_alt	59577	236573	+	NM_031283.3	TCF7L1
chr2_MU273341v1_fix	79332	117706	+	NM_000090.4	COL3A1
chr2_MU273342v1_fix	639606	665891	+	NM_001079.4	ZAP70
chr2_MU273342v1_fix	58280	69580	-	NM_001320848.2	FAHD2B
chr2_MU273342v1_fix	595743	629097	+	NM_001351368.2	C2orf92
chr2_MU273342v1_fix	87850	239219	+	NM_001354587.1	ANKRD36
chr2_MU273342v1_fix	418693	515908	-	NM_001393939.1	ANKRD36B
chr2_MU273342v1_fix	572092	574414	+	NM_001862.3	COX5B
chr2_MU273342v1_fix	581969	590075	-	NM_005735.4	ACTR1B
chr2_MU273342v1_fix	682366	921979	-	NM_015348.2	TMEM131
chr2_MU273343v1_fix	453680	486646	+	NM_001080474.3	C2orf78
chr2_MU273343v1_fix	55330	279414	+	NM_001378454.1	ALMS1
chr2_MU273343v1_fix	431710	449601	-	NM_003584.3	DUSP11
chr2_MU273343v1_fix	310220	311920	-	NM_003960.4	NAT8
chr2_MU273343v1_fix	399370	406843	-	NM_016058.5	TPRKB
chr2_MU273344v1_fix	52096	94741	-	NM_000384.3	APOB
chr2_MU273344v1_fix	174635	195036	+	NM_001306137.2	TDRD15
chr3	165772903	165837423	-	NM_000055.4	BCHE
chr3	48564072	48595329	-	NM_000094.4	COL7A1
chr3	149172496	149221829	-	NM_000096.4	CP
chr3	98579445	98593611	-	NM_000097.7	CPOX
chr3	81489702	81761645	-	NM_000158.4	GBE1
chr3	129060778	129062406	+	NM_000174.5	GP9
chr3	120628171	120682239	-	NM_000187.4	HGD
chr3	36993517	37050846	+	NM_000249.4	MLH1
chr3	46857871	46863444	-	NM_000258.3	MYL3
chr3	87259403	87276584	-	NM_000306.4	POU1F1
chr3	93873050	93973896	-	NM_000313.4	PROS1
chr3	46877720	46903799	+	NM_000316.3	PTH1R
chr3	38548061	38649687	-	NM_000335.5	SCN5A
chr3	170996346	171026720	-	NM_000340.2	SLC2A2
chr3	124730451	124749273	+	NM_000373.4	UMPS
chr3	48856925	48898882	-	NM_000387.6	SLC25A20
chr3	122183667	122291629	+	NM_000388.4	CASR
chr3	32996616	33097146	-	NM_000404.4	GLB1
chr3	186666013	186678234	+	NM_000412.5	HRG
chr3	184371934	184378207	-	NM_000460.4	THPO
chr3	49416777	49422473	-	NM_000481.4	AMT
chr3	136250339	136330169	+	NM_000532.5	PCCB
chr3	129528638	129535344	+	NM_000539.3	RHO
chr3	10141777	10153667	+	NM_000551.4	VHL
chr3	49357175	49358353	-	NM_000581.4	GPX1
chr3	51983534	51989197	+	NM_000666.3	ACY1
chr3	148697902	148743003	+	NM_000685.5	AGTR1
chr3	52198159	52214327	+	NM_000688.6	ALAS1
chr3	42257825	42266185	-	NM_000729.6	CCK
chr3	114127579	114179052	-	NM_000796.6	DRD3
chr3	51707067	51718613	+	NM_000839.5	GRM2
chr3	6861114	7741533	+	NM_000844.4	GRM7
chr3	49024324	49029398	-	NM_000884.3	IMPDH2
chr3	8750380	8769613	-	NM_000916.4	OXTR
chr3	58427629	58433832	-	NM_000925.4	PDHB
chr3	25428262	25597932	+	NM_000965.5	RARB
chr3	101681090	101686718	-	NM_000986.4	RPL24
chr3	51993521	51995895	-	NM_000992.3	RPL29
chr3	12834484	12841565	-	NM_000994.4	RPL32
chr3	197950189	197956610	+	NM_000996.4	RPL35A
chr3	10324022	10505586	-	NM_001001331.4	ATP2B2
chr3	94014364	94028597	-	NM_001001850.3	STX19
chr3	160399649	160434953	+	NM_001002800.3	SMC4
chr3	9731734	9748015	+	NM_001003694.2	BRPF1
chr3	29281070	30010386	+	NM_001003793.3	RBMS3
chr3	51942362	51948867	+	NM_001003931.4	PARP3
chr3	13549124	13638404	+	NM_001004019.2	FBLN2
chr3	187698258	187702557	-	NM_001004312.2	RTP2
chr3	156826352	157046129	+	NM_001004316.3	LEKR1
chr3	98463200	98472924	+	NM_001004736.4	OR5K1
chr3	98497680	98498631	+	NM_001004737.1	OR5K2
chr3	98130720	98138548	+	NM_001005338.2	OR5H1
chr3	98264243	98265356	+	NM_001005479.2	OR5H6
chr3	98282504	98284070	+	NM_001005482.2	OR5H2
chr3	98147478	98156614	+	NM_001005514.2	OR5H14
chr3	98166695	98169774	+	NM_001005515.2	OR5H15
chr3	98390665	98391631	+	NM_001005516.1	OR5K3
chr3	98353853	98354819	+	NM_001005517.1	OR5K4
chr3	127193130	127198185	+	NM_001007534.2	PRR23E
chr3	49790731	49799873	-	NM_001007540.4	CDHR4
chr3	48620758	48621769	-	NM_001008269.3	TMEM89
chr3	111998921	112013885	+	NM_001008272.2	TAGLN3
chr3	88051949	88059005	-	NM_001008390.2	CGGBP1
chr3	37861879	37984469	+	NM_001008392.2	CTDSPL
chr3	113648384	113696642	-	NM_001009899.4	USF3
chr3	184812165	185052604	+	NM_001009921.3	VPS8
chr3	49015487	49018580	-	NM_001009996.3	DALRD3
chr3	194587677	194633419	-	NM_001011655.3	TMEM44
chr3	121567948	121590622	+	NM_001012659.2	ARGFX
chr3	139019030	139020926	-	NM_001013650.2	PRR23B
chr3	118900556	119034846	-	NM_001015887.3	IGSF11
chr3	129647791	129893711	-	NM_001017395.5	TMCC1
chr3	122359590	122383231	-	NM_001017928.4	MIX23
chr3	10026436	10101932	+	NM_001018115.3	FANCD2
chr3	121769760	121835060	-	NM_001023570.4	IQCB1
chr3	46017006	46027483	-	NM_001024644.2	XCR1
chr3	185076837	185153060	-	NM_001025266.3	C3orf70
chr3	122909081	123027763	-	NM_001031702.4	SEMA5B
chr3	47495639	47513712	-	NM_001031703.3	ELP6
chr3	138608770	138633376	+	NM_001033031.2	FAIM
chr3	65353525	66038918	-	NM_001033057.2	MAGI1
chr3	40457338	40468587	+	NM_001034996.3	RPL14
chr3	141231824	141294924	+	NM_001037172.3	PXYLP1
chr3	154334942	154430190	-	NM_001038705.3	GPR149
chr3	32817996	32897824	+	NM_001039111.3	TRIM71
chr3	142157526	142225585	-	NM_001039547.3	GK5
chr3	196197451	196211400	-	NM_001039617.2	ZDHHC19
chr3	33090421	33097146	-	NM_001039770.3	TMPPE
chr3	138947216	138953990	+	NM_001040061.3	FOXL2NB
chr3	161344797	161371517	-	NM_001040100.2	SPTSSB
chr3	98515482	98522902	-	NM_001040181.2	CLDND1
chr3	28348720	28526358	+	NM_001040432.4	ZCWPW2
chr3	164978897	165078496	-	NM_001041.4	SI
chr3	42091356	42225890	+	NM_001042646.3	TRAK1
chr3	159069318	159263747	+	NM_001042706.3	IQCJ
chr3	187668911	187670394	-	NM_001048.4	SST
chr3	133746392	133796641	+	NM_001063.4	TF
chr3	53224711	53256022	-	NM_001064.4	TKT
chr3	58564116	58577391	-	NM_001076778.3	FAM107A
chr3	9933833	9945406	+	NM_001077415.3	CRELD1
chr3	9649504	9702393	+	NM_001077525.3	MTMR14
chr3	196506878	196515346	-	NM_001077657.3	SMCO1
chr3	72888045	72976915	+	NM_001080393.2	GXYLT2
chr3	143001569	143060725	+	NM_001080415.2	U2SURP
chr3	14489106	14540342	-	NM_001080423.4	GRIP2
chr3	161496807	161503942	+	NM_001080440.1	OTOL1
chr3	96814593	97761532	+	NM_001080448.3	EPHA6
chr3	169812869	169837773	+	NM_001080460.3	LRRIQ4
chr3	194339767	194351328	-	NM_001080513.4	CPN2
chr3	9397614	9478154	+	NM_001080517.3	SETD5
chr3	48306841	48333661	-	NM_001080525.3	SPINK8
chr3	49177633	49191858	-	NM_001080528.3	C3orf84
chr3	63652674	63665212	+	NM_001080537.2	SNTN
chr3	191461162	191461456	+	NM_001083308.1	PYDC2
chr3	138348578	138405533	+	NM_001085049.3	MRAS
chr3	146585836	146605346	-	NM_001085420.2	PLSCR5
chr3	100401538	100456319	+	NM_001085451.2	LNP1
chr3	151814115	151828488	+	NM_001086.3	AADAC
chr3	11154492	11263557	+	NM_001098212.2	HRH1
chr3	14112076	14124870	-	NM_001098502.2	CHCHD4
chr3	132317406	132358841	+	NM_001099.5	ACP3
chr3	170864874	170870195	-	NM_001099645.2	RPL22L1
chr3	120324508	120349354	-	NM_001099678.2	LRRC58
chr3	184276021	184293031	+	NM_001100121.2	ECE2
chr3	186717358	186744410	+	NM_001102416.3	KNG1
chr3	130517176	130677042	+	NM_001102608.3	COL6A6
chr3	140941835	140980995	+	NM_001104647.3	SLC25A36
chr3	196568659	196589059	+	NM_001105573.2	FBXO45
chr3	97985101	98035315	-	NM_001105580.3	GABRR3
chr3	38453889	38493142	+	NM_001106.4	ACVR2B
chr3	122577649	122639047	+	NM_001113523.3	PARP15
chr3	9363053	9386791	+	NM_001114092.2	THUMPD3
chr3	167735720	167825569	+	NM_001122752.2	SERPINI1
chr3	46354110	46360940	+	NM_001123396.4	CCR2
chr3	75664327	75667173	+	NM_001124759.5	FRG2C
chr3	52536604	52541890	+	NM_001124767.2	UQCC5
chr3	119579491	119589945	+	NM_001125.4	ADPRH
chr3	71771654	71785148	-	NM_001126128.2	PROK2
chr3	196049283	196082090	-	NM_001128148.3	TFRC
chr3	58492095	58502356	+	NM_001128214.2	KCTD6
chr3	11556068	11643915	-	NM_001128219.3	VGLL4
chr3	53494610	53813733	+	NM_001128840.3	CACNA1D
chr3	42979310	43057715	+	NM_001129908.3	GASK1A
chr3	63278307	63616924	+	NM_001130003.2	SYNPR
chr3	48403853	48430086	-	NM_001130082.3	PLXNB1
chr3	52524386	52533857	-	NM_001134231.2	NT5DC2
chr3	12897042	13073429	-	NM_001134382.3	IQSEC1
chr3	111859264	111976517	+	NM_001134438.2	PHLDB2
chr3	44712659	44723831	+	NM_001134442.3	ZNF502
chr3	71675413	71725402	-	NM_001134651.2	EIF4E3
chr3	139042101	139044892	-	NM_001134657.1	PRR23C
chr3	139003961	139006268	-	NM_001134659.1	PRR23A
chr3	44915260	44976174	-	NM_001135179.2	ZDHHC3
chr3	49199497	49258106	+	NM_001135197.2	IHO1
chr3	197960216	198043720	+	NM_001136049.3	LMLN
chr3	127571231	127590733	-	NM_001136053.4	TPRA1
chr3	130081830	130098390	+	NM_001136152.1	ALG1L2
chr3	31981749	31991723	+	NM_001137674.3	ZNF860
chr3	56557174	56621837	+	NM_001141947.3	CCDC66
chr3	107522961	107811339	+	NM_001142568.3	BBX
chr3	57268341	57292685	-	NM_001142733.3	ASB14
chr3	16884954	17090604	+	NM_001144382.2	PLCL2
chr3	149761099	149792554	-	NM_001144960.3	ANKUB1
chr3	44241885	44332098	+	NM_001145030.2	TOPAZ1
chr3	51873720	51875601	-	NM_001145059.2	IQCF5
chr3	40477121	40491053	+	NM_001145093.4	ZNF619
chr3	184031741	184039369	+	NM_001145143.1	HTR3D
chr3	142596392	142713664	+	NM_001145319.2	PLS1
chr3	122527923	122564300	-	NM_001146105.2	PARP9
chr3	119821320	120094447	-	NM_001146156.2	GSK3B
chr3	51968514	51974049	-	NM_001146314.2	ABHD14B
chr3	190852736	190862694	-	NM_001146686.3	GMNC
chr3	12796679	12834803	+	NM_001162499.2	CAND2
chr3	158095904	158106420	-	NM_001163678.2	SHOX2
chr3	171843348	171859318	+	NM_001164436.2	TMEM212
chr3	113286929	113441493	-	NM_001164496.2	CFAP44
chr3	10103936	10108255	-	NM_001164839.2	FANCD2OS
chr3	84958988	86074429	+	NM_001167675.2	CADM2
chr3	157259741	157503416	-	NM_001167912.2	VEPH1
chr3	160225421	160228213	+	NM_001168214.2	C3orf80
chr3	169793002	169812904	-	NM_001172779.2	LRRC34
chr3	51957457	51967454	-	NM_001174100.2	PCBP4
chr3	93980154	94055678	+	NM_001174150.2	ARL13B
chr3	141944427	142149544	-	NM_001178139.2	TFDP2
chr3	142449234	142578733	-	NM_001184.4	ATR
chr3	12539775	12545499	-	NM_001195279.2	MKRN2OS
chr3	46612524	46626543	+	NM_001195442.2	FAM240A
chr3	49108049	49120823	-	NM_001199161.2	USP19
chr3	100260991	100325238	+	NM_001199198.3	TBC1D23
chr3	167239842	167380297	-	NM_001199201.2	ZBBX
chr3	112815710	112846864	-	NM_001199215.3	CD200R1L
chr3	20169483	20186206	-	NM_001199251.3	SGO1
chr3	121987322	122022247	-	NM_001199799.2	ILDR1
chr3	50296401	50299405	-	NM_001200016.2	NAA80
chr3	42936385	42942792	+	NM_001205272.2	KRBOX1
chr3	50617150	50649291	+	NM_001243925.2	MAPKAPK3
chr3	40387183	40428744	+	NM_001248.4	ENTPD3
chr3	142724033	142807888	+	NM_001251845.2	TRPC1
chr3	19985345	20012264	-	NM_001252657.2	PP2D1
chr3	184097063	184106995	+	NM_001256613.2	HTR3E
chr3	8619385	8644798	-	NM_001256748.3	SSUH2
chr3	48432172	48440119	-	NM_001256964.2	CCDC51
chr3	44729634	44737083	+	NM_001258280.2	ZNF501
chr3	172750725	172821474	+	NM_001258315.2	ECT2
chr3	158110088	158545730	+	NM_001271838.2	RSRC1
chr3	129430946	129439948	-	NM_001276270.2	MBD4
chr3	46921729	46976745	-	NM_001277074.2	CCDC12
chr3	27715952	27722323	-	NM_001278182.2	EOMES
chr3	97764757	97801229	+	NM_001278293.3	ARL6
chr3	130345671	130484846	+	NM_001278298.2	COL6A5
chr3	68975224	69013684	-	NM_001278689.2	EOGT
chr3	195720977	195733551	+	NM_001282506.2	MUC20
